"Grade of Steel","Automotive application","Scrap Steel (%)","DRI or Pig Iron (%)","Iron Ore (%)","Phosphorus (%)","Carbon (%)","Melting Time (EAF)","Production Volume",Yield,"BF Stage Cycle Time","EAF Stage Cycle Time","LRF Stage Cycle Time","Total Cycle Time","BF Electricity (kWh)","EAF Electricity (kWh)","LRF Electricity (kWh)","Total Electricity Consumption (kWh)","Original Cost per Ton","New Scrap Steel (%)","New DRI or Pig Iron (%)","New Iron Ore (%)","New Electricity Consumption (kWh) Total","BF Electricity (kWh) (New)","EAF Electricity (kWh) (New)","LRF Electricity (kWh) (New)","Estimated Cost per Ton ($)"
"AISI 1010","Body panels, brackets",30,60,10,0.02,0.08,"1.5 hours","500 tons",95%,"1.2 hours","1.2 hours","0.6 hours","3.0 hours",400,400,200,1000,$250,40,50,10,1100,440,400,260,$275
"AISI 1020","Engine components, gears, shafts",35,50,15,0.03,0.18,"1.8 hours","600 tons",94%,"1.5 hours","1.5 hours","0.7 hours","3.7 hours",480,480,240,1200,$260,40,45,15,1260,504,450,260,$280
"AISI 1030","Springs, bolts, and nuts",13,65,10,0.04,0.28,"2.0 hours","700 tons",93%,"1.8 hours","1.8 hours","0.8 hours","4.4 hours",550,550,275,1375,$270,30,60,10,1320,528,528,270,$275
"AISI 1040","Transmission gears, crankshafts",13,70,10,0.05,0.35,"2.2 hours","800 tons",92%,"2.0 hours","2.0 hours","1.0 hours","5.2 hours",600,600,300,1500,$280,25,65,10,1475,590,590,280,$280
"AISI 1050","High-strength bolts, axles",13,75,10,0.06,0.45,"2.5 hours","900 tons",91%,"2.2 hours","2.2 hours","1.1 hours","5.8 hours",650,650,325,1625,$290,25,65,10,1475,590,590,295,$280
"AISI 1060","High-stress components, springs",13,80,10,0.07,0.55,"2.8 hours","1000 tons",90%,"2.5 hours","2.5 hours","1.2 hours","6.5 hours",700,700,350,1750,$300,20,70,10,1600,640,640,320,$285
"AISI 1070","Wear-resistant parts, structural components",13,82,10,0.08,0.65,"3.0 hours","1100 tons",89%,"2.8 hours","2.8 hours","1.4 hours","7.0 hours",750,750,375,1875,$310,18,72,10,1725,690,690,345,$290
"AISI 1080","High-strength springs, connecting rods",13,85,8,0.09,0.75,"3.2 hours","1200 tons",88%,"3.0 hours","3.0 hours","1.5 hours","7.5 hours",800,800,400,2000,$320,17,73,10,1850,740,740,370,$295
"AISI 1090","Gears, heavy-duty axles",13,87,7,0.1,0.85,"3.5 hours","1300 tons",87%,"3.2 hours","3.2 hours","1.6 hours","8.0 hours",850,850,425,2125,$330,16,74,10,1975,790,790,395,$300
"AISI 4130","Roll cages, suspension components",13,75,13,0.03,0.3,"2.3 hours","850 tons",91%,"2.0 hours","2.0 hours","1.0 hours","5.0 hours",600,600,300,1500,$280,30,60,10,1350,540,540,270,$265
"AISI 4140","Crankshafts, connecting rods, gears",13,80,10,0.04,0.4,"2.5 hours","950 tons",90%,"2.2 hours","2.2 hours","1.1 hours","5.5 hours",650,650,325,1625,$290,25,65,10,1475,590,590,295,$280
"AISI 4150","Drive shafts, heavy-duty axles",13,85,7,0.05,0.5,"2.8 hours","1050 tons",89%,"2.5 hours","2.5 hours","1.2 hours","6.2 hours",700,700,350,1750,$300,20,70,10,1600,640,640,320,$285
"AISI 4320","Gears, shafts, axles",13,70,15,0.06,0.6,"3.0 hours","1150 tons",88%,"2.8 hours","2.8 hours","1.4 hours","7.0 hours",750,750,375,1875,$310,18,72,10,1725,690,690,345,$290
"AISI 4340","High-stress components, crankshafts",13,75,13,0.07,0.7,"3.2 hours","1250 tons",87%,"3.0 hours","3.0 hours","1.5 hours","7.5 hours",800,800,400,2000,$320,17,73,10,1850,740,740,370,$295
"AISI 5120","Gears, structural components",13,65,15,0.08,0.8,"3.5 hours","1350 tons",86%,"3.2 hours","3.2 hours","1.6 hours","8.0 hours",850,850,425,2125,$330,20,65,15,1925,770,770,385,$305
"AISI 52100","Bearings, high-stress components",13,90,5,0.02,1,"3.8 hours","1400 tons",85%,"3.5 hours","3.5 hours","1.8 hours","8.8 hours",900,900,450,2250,$340,5,90,5,2075,830,830,415,$320
"ASTM A36","Structural components, frame structures",13,60,15,0.03,0.25,"2.0 hours","700 tons",90%,"1.6 hours","1.6 hours","0.8 hours","4.0 hours",560,560,280,1400,$280,25,60,15,1275,510,510,255,$260
"ASTM A242","Structural components",13,70,10,0.04,0.35,"2.2 hours","800 tons",88%,"2.0 hours","2.0 hours","1.0 hours","5.0 hours",600,600,300,1500,$290,20,70,10,1370,548,548,274,$270
